,Actual,Predicted
0,15.0,27215.98693729988
1,98.0,76375.71106698703
2,217.0,91123.62830589317
3,1663.0,125535.43519667415
4,13.0,-12111.792366449808
5,4632.0,145199.32484854897
6,2.0,-110431.24062582407
7,7783.0,155031.26967448642
8,13.0,7552.097285425043
9,5.0,-80935.4061480118
10,188172.0,218938.9110430797
11,11.0,-56355.54408316822
12,121465.0,204190.99380417354
13,429052.0,258266.69034682936
14,11.0,-41607.62684426209
15,13.0,12468.069698393767
16,366667.0,248434.74552089197
